id,title,source_url,canonical_url,description,snippet,body,fetched_at
3,Public Water quality daily reports Overview 1,generated://project/3,,Synthetic market context record generated from the project brief.,"Public Water quality daily reports has a generated market context entry for planning, testing, or export review.",Public Water quality daily reports Overview 1 is synthetic data produced locally for this workspace. It reflects the project goal: Gather data on public water sources. Use it to test workflows and CSV exports before relying on ingested public web sources.,2026-04-27T03:45:07.050Z
4,Public Water quality daily reports Signal 2,generated://project/3,,Synthetic operating footprint record generated from the project brief.,"Public Water quality daily reports has a generated operating footprint entry for planning, testing, or export review.",Public Water quality daily reports Signal 2 is synthetic data produced locally for this workspace. It reflects the project goal: Gather data on public water sources. Use it to test workflows and CSV exports before relying on ingested public web sources.,2026-04-27T03:45:07.050Z
5,Public Water quality daily reports Profile 3,generated://project/3,,Synthetic recent activity record generated from the project brief.,"Public Water quality daily reports has a generated recent activity entry for planning, testing, or export review.",Public Water quality daily reports Profile 3 is synthetic data produced locally for this workspace. It reflects the project goal: Gather data on public water sources. Use it to test workflows and CSV exports before relying on ingested public web sources.,2026-04-27T03:45:07.050Z
6,Public Water quality daily reports Finding 4,generated://project/3,,Synthetic risk indicator record generated from the project brief.,"Public Water quality daily reports has a generated risk indicator entry for planning, testing, or export review.",Public Water quality daily reports Finding 4 is synthetic data produced locally for this workspace. It reflects the project goal: Gather data on public water sources. Use it to test workflows and CSV exports before relying on ingested public web sources.,2026-04-27T03:45:07.050Z
7,Public Water quality daily reports Reference 5,generated://project/3,,Synthetic public evidence record generated from the project brief.,"Public Water quality daily reports has a generated public evidence entry for planning, testing, or export review.",Public Water quality daily reports Reference 5 is synthetic data produced locally for this workspace. It reflects the project goal: Gather data on public water sources. Use it to test workflows and CSV exports before relying on ingested public web sources.,2026-04-27T03:45:07.050Z
8,Public Water quality daily reports Summary 6,generated://project/3,,Synthetic review note record generated from the project brief.,"Public Water quality daily reports has a generated review note entry for planning, testing, or export review.",Public Water quality daily reports Summary 6 is synthetic data produced locally for this workspace. It reflects the project goal: Gather data on public water sources. Use it to test workflows and CSV exports before relying on ingested public web sources.,2026-04-27T03:45:07.050Z
9,Public Water quality daily reports Overview 7,generated://project/3,,Synthetic market context record generated from the project brief.,"Public Water quality daily reports has a generated market context entry for planning, testing, or export review.",Public Water quality daily reports Overview 7 is synthetic data produced locally for this workspace. It reflects the project goal: Gather data on public water sources. Use it to test workflows and CSV exports before relying on ingested public web sources.,2026-04-27T03:45:07.050Z
10,Public Water quality daily reports Signal 8,generated://project/3,,Synthetic operating footprint record generated from the project brief.,"Public Water quality daily reports has a generated operating footprint entry for planning, testing, or export review.",Public Water quality daily reports Signal 8 is synthetic data produced locally for this workspace. It reflects the project goal: Gather data on public water sources. Use it to test workflows and CSV exports before relying on ingested public web sources.,2026-04-27T03:45:07.050Z
11,Public Water quality daily reports Profile 9,generated://project/3,,Synthetic recent activity record generated from the project brief.,"Public Water quality daily reports has a generated recent activity entry for planning, testing, or export review.",Public Water quality daily reports Profile 9 is synthetic data produced locally for this workspace. It reflects the project goal: Gather data on public water sources. Use it to test workflows and CSV exports before relying on ingested public web sources.,2026-04-27T03:45:07.050Z
12,Public Water quality daily reports Finding 10,generated://project/3,,Synthetic risk indicator record generated from the project brief.,"Public Water quality daily reports has a generated risk indicator entry for planning, testing, or export review.",Public Water quality daily reports Finding 10 is synthetic data produced locally for this workspace. It reflects the project goal: Gather data on public water sources. Use it to test workflows and CSV exports before relying on ingested public web sources.,2026-04-27T03:45:07.050Z
